id,customer_id,account_number,account_type,balance,currency,status
1,1,FGSB0000000001,savings,447342.31,INR,active
2,2,FGSB0000000002,savings,236974.66,INR,active
3,3,FGSB0000000003,savings,96208.5,INR,active
4,4,FGSB0000000004,savings,159578.41,INR,active
5,5,FGSB0000000005,savings,120123.87,INR,active
6,6,FGSB0000000006,savings,113098.94,INR,active
7,7,FGSB0000000007,savings,678239.06,INR,active
8,8,FGSB0000000008,savings,192281.68,INR,active
9,9,FGSB0000000009,savings,328494.84,INR,active
10,10,FGSB0000000010,savings,63976.13,INR,active
11,11,FGSB0000000011,savings,53758.38,INR,active
12,12,FGSB0000000012,savings,306581.79,INR,active
13,13,FGSB0000000013,savings,108044.64,INR,active
14,14,FGSB0000000014,savings,236609.65,INR,active
15,15,FGSB0000000015,savings,191707.91,INR,active
16,16,FGSB0000000016,savings,358293.7,INR,active
17,17,FGSB0000000017,savings,578450.43,INR,active
18,18,FGSB0000000018,savings,378110.64,INR,active
19,19,FGSB0000000019,savings,619420.86,INR,active
20,20,FGSB0000000020,savings,553593.29,INR,active
21,21,FGSB0000000021,savings,149320.13,INR,active
22,22,FGSB0000000022,savings,154449.4,INR,active
23,23,FGSB0000000023,savings,107908.46,INR,active
24,24,FGSB0000000024,savings,509553.57,INR,active
25,25,FGSB0000000025,savings,316143.43,INR,active
26,26,FGSB0000000026,savings,115463.26,INR,active
27,27,FGSB0000000027,savings,326150.75,INR,active
28,28,FGSB0000000028,savings,124809.65,INR,active
29,29,FGSB0000000029,savings,87786.3,INR,active
30,30,FGSB0000000030,savings,282028.46,INR,active
31,31,FGSB0000000031,savings,164280.11,INR,active
32,32,FGSB0000000032,savings,151827.49,INR,active
33,33,FGSB0000000033,savings,94529.64,INR,active
34,34,FGSB0000000034,savings,81350.39,INR,active
35,35,FGSB0000000035,savings,373626.73,INR,active
36,36,FGSB0000000036,savings,160527.82,INR,active
37,37,FGSB0000000037,savings,333522.44,INR,active
38,38,FGSB0000000038,savings,487793.08,INR,active
39,39,FGSB0000000039,savings,305702.99,INR,active
40,40,FGSB0000000040,savings,252395.12,INR,active
41,41,FGSB0000000041,savings,447759.77,INR,active
42,42,FGSB0000000042,savings,81503.47,INR,active
43,43,FGSB0000000043,savings,252475.54,INR,active
44,44,FGSB0000000044,savings,199868.68,INR,active
45,45,FGSB0000000045,savings,239803.34,INR,active
46,46,FGSB0000000046,savings,657897.8,INR,active
47,47,FGSB0000000047,savings,312635.91,INR,active
48,48,FGSB0000000048,savings,145523.41,INR,active
49,49,FGSB0000000049,savings,343750.35,INR,active
50,50,FGSB0000000050,savings,495456.98,INR,active
51,51,FGSB0000000051,savings,234245.98,INR,active
52,52,FGSB0000000052,savings,115590.17,INR,active
53,53,FGSB0000000053,savings,50193.78,INR,active
54,54,FGSB0000000054,savings,251306.04,INR,active
55,55,FGSB0000000055,savings,412445.43,INR,active
56,56,FGSB0000000056,savings,201976.04,INR,active
57,57,FGSB0000000057,savings,419258.29,INR,active
58,58,FGSB0000000058,savings,111690.25,INR,active
59,59,FGSB0000000059,savings,82257.3,INR,active
60,60,FGSB0000000060,savings,327661.31,INR,active
61,61,FGSB0000000061,savings,213602.75,INR,active
62,62,FGSB0000000062,savings,355920.29,INR,active
63,63,FGSB0000000063,savings,195004.35,INR,active
64,64,FGSB0000000064,savings,478088.01,INR,active
65,65,FGSB0000000065,savings,204906.11,INR,active
66,66,FGSB0000000066,savings,54731.59,INR,active
67,67,FGSB0000000067,savings,111560.96,INR,active
68,68,FGSB0000000068,savings,363359.6,INR,active
69,69,FGSB0000000069,savings,151491.64,INR,active
70,70,FGSB0000000070,savings,183991.93,INR,active
71,71,FGSB0000000071,savings,182993.1,INR,active
72,72,FGSB0000000072,savings,281563.37,INR,active
73,73,FGSB0000000073,savings,63755.77,INR,active
74,74,FGSB0000000074,savings,65733.41,INR,active
75,75,FGSB0000000075,savings,336175.2,INR,active
76,76,FGSB0000000076,savings,99995.68,INR,active
77,77,FGSB0000000077,savings,361200.86,INR,active
78,78,FGSB0000000078,savings,355294.12,INR,active
79,79,FGSB0000000079,savings,262439.75,INR,active
80,80,FGSB0000000080,savings,181543.67,INR,active
81,81,FGSB0000000081,savings,602283.92,INR,active
82,82,FGSB0000000082,savings,99218.31,INR,active
83,83,FGSB0000000083,savings,148403.47,INR,active
84,84,FGSB0000000084,savings,213041.46,INR,active
85,85,FGSB0000000085,savings,495163.79,INR,active
86,86,FGSB0000000086,savings,212749.46,INR,active
87,87,FGSB0000000087,savings,282900.38,INR,active
88,88,FGSB0000000088,savings,216507.66,INR,active
89,89,FGSB0000000089,savings,234889.43,INR,active
90,90,FGSB0000000090,savings,175764.17,INR,active
91,91,FGSB0000000091,savings,263572.11,INR,active
92,92,FGSB0000000092,savings,375930.46,INR,active
93,93,FGSB0000000093,savings,245436.01,INR,active
94,94,FGSB0000000094,savings,148540.85,INR,active
95,95,FGSB0000000095,savings,161692.74,INR,active
96,96,FGSB0000000096,savings,209755.1,INR,active
97,97,FGSB0000000097,savings,166528.11,INR,active
98,98,FGSB0000000098,savings,280334.37,INR,active
99,99,FGSB0000000099,savings,348195.08,INR,active
100,100,FGSB0000000100,savings,195315.36,INR,active
